timestamp,experiment_time_hours,radiation_dose_krad,alarm_f_hex,triggered_count_f,triggered_bits_f,alarm_rf_hex,triggered_count_rf,triggered_bits_rf,alarm_uart_hex,triggered_count_uart,triggered_bits_uart,alarm_obi_dmx_hex,triggered_count_obi_dmx,triggered_bits_obi_dmx,total_triggered_count,bitstream_name,phase_degrees,slack_ns,fpga_temp_c,vccint_v,vcore_v,ambient_temp_c,event_type,notes
2026-01-15T22:17:20.035925,0.0,0.0,0xFFFFFFFC,30,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",0x000004B6,6,"1,2,4,5,7,10",0x00000000,0,,0x00000000,0,,36,,0.0,0.0,0.0,0.0,0.842,40.0,alarm,
2026-01-15T22:19:13.832398,0.0,0.0,0xFFFFFFFC,30,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",0x000004B6,6,"1,2,4,5,7,10",0x00000000,0,,0x00000000,0,,36,,0.0,0.0,0.0,0.0,0.842,40.0,alarm,
2026-01-15T22:20:24.005698,0.0,0.0,0xFFFFFFFC,30,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",0x000004B6,6,"1,2,4,5,7,10",0x00000000,0,,0x00000000,0,,36,,0.0,0.0,0.0,0.0,0.842,40.0,alarm,
2026-01-16T09:08:53.253739,0.0,0.0,0xFFF7FFF4,28,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31",0x00000000,0,,0x00000000,0,,0x00000000,0,,28,,0.0,0.0,0.0,0.0,0.842,37.0,alarm,
2026-01-16T09:11:28.763217,0.0,0.0,0xFFF7FFF4,28,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31",0x00000000,0,,0x00000000,0,,0x00000000,0,,28,,0.0,0.0,0.0,0.0,0.84,39.0,alarm,
